1	10+ Key Memory & Storage Systems: Crash Course System Design #5	4:17	lX4CrbXMsNQ
2	Everything You Need to Know About DNS: Crash Course System Design #4	5:45	27r4Bzuj5NQ
3	Latency Numbers Programmer Should Know: Crash Course System Design #1	6:22	FqR5vESuKe0
4	What Is REST API? Examples And How To Use It: Crash Course System Design #3	5:21	-mN3VyJuCjM
5	10 Key Data Structures We Use Every Day	8:43	ouipSd_5ivQ
6	Cache Systems Every Developer Should Know	5:48	dGAgxozNWFE
7	The Most Beloved Burger for Developers	3:25	7swoLEqABhQ
8	But What Is Cloud Native Really All About?	7:32	p-88GN1WVs8
9	Debugging Like A Pro	5:48	J8uAiZJMfzQ
10	Top 5 Redis Use Cases	6:28	a4yX7RUgTxI
11	CI/CD In 5 Minutes | Is It Worth The Hassle: Crash Course System Design #2	5:46	42UP1fxi2SY
12	Kubernetes Explained in 6 Minutes | k8s Architecture	6:28	TlHvYWVUZyc
13	CAP Theorem Simplified	5:33	BHqjEjzAicA
14	What is OSI Model | Real World Examples	4:45	0y6FtKsg6J4
15	What Is A CDN? How Does It Work?	4:24	RI9np1LWzqw
16	What is RPC? gRPC Introduction.	6:09	gnchfOojMk4
17	What Is GraphQL? REST vs. GraphQL	5:15	yWzKJPw_VzM
18	What is API Gateway?	3:26	6ULyxuHKxg8
19	Proxy vs Reverse Proxy (Real-world Examples)	5:17	4NB0NDtOwIQ
20	What Are Microservices Really All About? (And When Not To Use It)	4:45	lTAcCNbJ7KE
21	System Design: Why is Kafka fast?	5:02	UNUz1-msbOM
22	System Design: How to store passwords in the database?	3:44	zt8Cocdy15c
23	Big Misconceptions about Bare Metal, Virtual Machines, and Containers	7:02	Jz8Gs4UHTO8
24	HTTP/1 to HTTP/2 to HTTP/3	4:07	a-sBfyiXysI
25	System Design: Why is single-threaded Redis so fast?	3:39	5TRFpFBccQM
26	Top 7 Most-Used Distributed System Patterns	6:14	nH4qjmP2KEE
27	Secret To Optimizing SQL Queries - Understand The SQL Execution Order	5:57	BHwzDmr6d7s
28	Amazon Prime Video Ditches AWS Serverless, Saves 90%	4:15	JTp0TY_2hXM
29	Top 6 Most Popular API Architecture Styles	4:21	4vLxWqE94l4
30	Top 5 Most-Used Deployment Strategies	10:00	AWVTKBUnoIg
31	How Discord Stores TRILLIONS of Messages	7:11	O3PwuzCvAjI
32	Uncovering Stack Overflow's Shocking Architecture	4:09	fKc050dvNIE
33	OAuth 2 Explained In Simple Terms	4:32	ZV5yTm4pT8g
34	Demystifying the Unusual Evolution of the Netflix API Architecture	4:12	Uu32ggF-DWg
35	1 Year Of YouTube | Best System Design Series	1:03	q2MWdzhMq6A
36	DevOps vs SRE vs Platform Engineering | Clear Big Misconceptions	4:44	an8SrFtJBdM
37	Top 7 Ways to 10x Your API Performance	6:05	zvWKqUiovAM
38	Why Google and Meta Put Billion Lines of Code In 1 Repository?	7:09	x3cANGNPyx0
39	Git MERGE vs REBASE: Everything You Need to Know	4:34	0chZFIZLR_0
40	Top 6 Load Balancing Algorithms Every Developer Should Know	5:18	dBmxNsS3BGE
41	System Design: Apache Kafka In 3 Minutes	3:46	HZklgPkboro
42	Software Engineer Promo is SUPER easy - DO THIS	4:14	OTfYFl3rzjg
43	Is Docker Still Relevant?	3:46	Cs2j-Rjqg94
44	HTTP Status Codes Explained In 5 Minutes	5:07	qmpUfWN7hh4
45	Python Vs C++ Vs Java!	4:41	hnlz0YYCpBU
46	How Big Tech Ships Code to Production	4:28	xSPA2yBgDgA
47	How Git Works: Explained in 4 Minutes	4:18	e9lnsKot_SQ
48	Why is JWT popular?	5:14	P2CPd9ynFLg
49	How Does Linux Boot Process Work?	4:44	XpFsMB6FoOs
50	Vertical Vs Horizontal Scaling: Key Differences You Should Know	4:34	dvRFHG2-uYs
51	Top 9 Most Popular Types of API Testing	4:08	qquIJ1Ivusg
52	Everything You NEED to Know About Client Architecture Patterns	5:51	I5c7fBgvkNY
53	Linux File System Explained!	5:16	bbmWOjuFmgA
